job0_0_0,worker,inst0,w0_0_0,515623,Terminated,78573,84376,synmach000,V100
job0_0_1,worker,inst1,w0_0_1,702963,Terminated,37133,40296,synmach000,V100
job0_0_2,worker,inst2,w0_0_2,36272,Terminated,47418,52963,synmach000,V100
job0_0_3,worker,inst3,w0_0_3,504887,Terminated,64016,68488,synmach000,V100
job0_0_4,worker,inst4,w0_0_4,481248,Terminated,66391,69846,synmach000,V100
job0_1_0,worker,inst0,w0_1_0,196797,Terminated,88204,93640,synmach000,V100
job0_1_1,worker,inst1,w0_1_1,660244,Terminated,137010,142204,synmach000,V100
job0_1_2,worker,inst2,w0_1_2,651618,Terminated,101313,102957,synmach000,V100
job0_1_3,worker,inst3,w0_1_3,287674,Failed,145160,146922,synmach000,V100
job0_2_0,worker,inst0,w0_2_0,481680,Terminated,236889,242186,synmach000,V100
job0_2_1,worker,inst1,w0_2_1,633003,Terminated,212259,213996,synmach000,V100
job0_2_2,worker,inst2,w0_2_2,372431,Terminated,219948,225614,synmach000,V100
job0_2_3,worker,inst3,w0_2_3,835589,Terminated,231418,234687,synmach000,V100
job0_2_4,worker,inst4,w0_2_4,771568,Terminated,224136,227071,synmach000,V100
job0_2_5,worker,inst5,w0_2_5,975232,Terminated,224229,226247,synmach000,V100
job0_2_6,worker,inst6,w0_2_6,608835,Terminated,208914,209823,synmach000,V100
job0_2_7,worker,inst7,w0_2_7,592615,Terminated,205492,208803,synmach000,V100
job0_2_8,worker,inst8,w0_2_8,81812,Terminated,204234,209605,synmach000,V100
job0_3_0,worker,inst0,w0_3_0,479426,Terminated,334695,338693,synmach000,V100
job0_3_1,worker,inst1,w0_3_1,270219,Terminated,298092,301668,synmach000,V100
job0_3_2,worker,inst2,w0_3_2,341313,Terminated,294057,299432,synmach000,V100
job0_3_3,worker,inst3,w0_3_3,191377,Terminated,262683,264428,synmach000,V100
job0_3_4,worker,inst4,w0_3_4,441638,Terminated,261658,263703,synmach000,V100
job0_3_5,worker,inst5,w0_3_5,26899,Terminated,271931,275849,synmach000,V100
job0_3_6,worker,inst6,w0_3_6,160617,Terminated,270988,274943,synmach000,V100
job0_3_7,worker,inst7,w0_3_7,838574,Terminated,307157,309111,synmach000,V100
job0_3_8,worker,inst8,w0_3_8,985446,Terminated,294710,297500,synmach000,V100
job0_4_0,worker,inst0,w0_4_0,272388,Terminated,381043,385016,synmach000,V100
job0_4_1,worker,inst1,w0_4_1,980372,Terminated,359625,363305,synmach000,V100
job0_4_2,worker,inst2,w0_4_2,218911,Terminated,346146,350088,synmach000,V100
job0_4_3,worker,inst3,w0_4_3,935423,Terminated,425390,427666,synmach000,V100
job0_4_4,worker,inst4,w0_4_4,487895,Terminated,418018,422591,synmach000,V100
job0_4_5,worker,inst5,w0_4_5,243225,Terminated,391457,394592,synmach000,V100
job0_4_6,worker,inst6,w0_4_6,417725,Terminated,403636,406266,synmach000,V100
job0_4_7,worker,inst7,w0_4_7,256629,Terminated,417669,421610,synmach000,V100
job0_4_8,worker,inst8,w0_4_8,97906,Terminated,425261,427145,synmach000,V100
job0_4_9,worker,inst9,w0_4_9,650708,Terminated,361171,364764,synmach000,V100
job0_4_10,worker,inst10,w0_4_10,276831,Terminated,420027,421777,synmach000,V100
job0_5_0,worker,inst0,w0_5_0,568146,Terminated,504472,508600,synmach000,V100
job0_5_1,worker,inst1,w0_5_1,50775,Terminated,497850,498808,synmach000,V100
job0_5_2,worker,inst2,w0_5_2,71262,Terminated,500485,506259,synmach000,V100
job0_6_0,worker,inst0,w0_6_0,820150,Terminated,573602,579392,synmach000,V100
job0_6_1,worker,inst1,w0_6_1,639903,Terminated,563615,569090,synmach000,V100
job0_6_2,worker,inst2,w0_6_2,852565,Terminated,591058,596276,synmach000,V100
job0_6_3,worker,inst3,w0_6_3,401515,Failed,521850,525117,synmach000,V100
