feature,coef
lvl_s15,14.255311488411985
lvl_s11,8.877461320212218
lvl_s2,-7.830681286256613
lvl_s4,5.956003376281371
lvl_s9,-4.389514660711926
trd_s2,-4.335969122980304
lvl_s13,4.299803834447441
lvl_s17,3.5819704006764512
trd_s11,3.518758459875339
lvl_s14,3.4343422390776333
trd_s9,-3.419734994132497
lvl_s8,-3.033889503592902
trd_s4,3.0282192314051795
trd_s13,2.789865779151441
lvl_s3,2.389370502725929
trd_s14,-2.3646287144478344
vol_s21,-2.2410155770973272
vol_s8,-2.1000505197387986
trd_s15,1.9917579801082204
vol_s4,1.6117376883977257
trd_s17,1.405228963973396
vol_s2,1.2706025080600682
vol_s9,-1.2683231929070509
vol_s20,-1.185802303974526
trd_s8,-1.1550523930656476
vol_s13,1.1365145526221667
trd_s20,1.0873561495760105
lvl_s20,1.0840288922311654
vol_s7,0.9323312140367842
trd_s3,0.9177438641669765
trd_s21,0.7036126897420273
lvl_s21,0.6847468238550475
vol_s12,0.6180799881938852
vol_s15,-0.537628394144043
vol_s11,0.5016461520525145
vol_s14,0.47713992965999025
hours,-0.3934878687387742
vol_s17,0.20384075170639654
trd_s7,0.16360972661759826
lvl_s12,0.11218926839949084
lvl_s7,0.11081369037209998
vol_s3,0.08003636473349182
trd_s12,0.028078530962481908
