feature,coef
lvl_s9,1.194993354201279
lvl_s4,1.1846397893887368
lvl_s2,1.1085012145069868
lvl_s12,-1.1022185563416678
lvl_s8,1.027090275249113
hours,-1.008230362110292
lvl_s14,1.005785127984983
trd_s11,0.9480648749981334
lvl_s15,0.7864202169994761
trd_s7,-0.753143178555016
lvl_s11,0.679879365662489
trd_s13,0.6033314984467397
vol_s17,0.4960834040457687
lvl_s13,0.48899693397577715
trd_s20,-0.48740230516494376
trd_s8,0.464555736280616
vol_s21,0.4266002606376738
trd_s21,-0.3432403105477561
trd_s15,0.3371115521983439
vol_s7,0.30263085829425856
vol_s14,0.291104461518933
trd_s3,0.2846840554682765
trd_s4,0.28274251475841167
vol_s9,0.277672368450781
trd_s12,-0.26901159967901317
vol_s4,0.26083322500505385
trd_s17,0.24538045599259548
trd_s9,-0.21426267644883443
lvl_s21,-0.18132894862442397
trd_s2,0.15888646409892557
trd_s14,-0.15194560438284083
vol_s13,-0.14969437558726945
vol_s11,-0.1469615364889881
vol_s20,-0.1366285972865785
vol_s3,0.11510021578052779
vol_s8,0.11189793460842895
vol_s15,-0.07169982749608322
lvl_s20,-0.051669255831645486
vol_s12,0.04508723571052012
lvl_s17,-0.02994465627118226
vol_s2,-0.016772617108097288
lvl_s3,0.016455872889330272
lvl_s7,-0.0005250928100623274
