feature,coef
lvl_s11,9.552064519728342
lvl_s8,-7.567560672429039
lvl_s17,7.366174189302886
lvl_s3,6.931220972013572
vol_s15,-5.590663242645198
lvl_s13,-4.1464143946799155
vol_s20,-3.6324968794365846
lvl_s4,-3.572243970486436
lvl_s2,-3.3988168892445323
trd_s13,3.2833365059081316
trd_s15,3.1539339939663957
trd_s2,-2.9517111747344393
lvl_s7,-2.8215203463647383
lvl_s12,-2.808427065232842
vol_s14,2.4574181171619394
vol_s12,2.1713583515840034
vol_s7,2.1529144698737173
vol_s21,-2.1303952650899864
trd_s20,1.9228744111550902
trd_s9,-1.7629228317701233
lvl_s14,1.6888164875811167
trd_s11,1.6810301673510701
vol_s17,1.6687663235811263
vol_s4,1.5814879671928133
vol_s11,1.4036499490502519
trd_s21,1.3792539671449247
vol_s13,1.3018159206208582
vol_s8,-1.2602530846936895
lvl_s9,-1.2063297726214954
trd_s4,1.1172334918562143
trd_s17,0.9421612899444956
lvl_s20,-0.7851209829079348
lvl_s21,-0.7628868140410342
trd_s8,-0.7152296803395349
vol_s2,-0.6967837929335461
trd_s14,-0.6757248566124247
lvl_s15,0.6007211125737933
vol_s9,-0.5307044868222404
trd_s3,-0.37947690816657337
vol_s3,0.35974037407009646
hours,0.3491609950127094
trd_s12,0.19122678884842315
trd_s7,0.09936666239581804
